Date,StockSymbol,NetTradingValue
18/09/2026,HPG,250.629215
18/09/2026,PNJ,247.0960175
18/09/2026,SHB,220.98652
18/09/2026,STB,201.67012
18/09/2026,NVL,201.28226
18/09/2026,MCH,163.93054
18/09/2026,HDB,139.44138
18/09/2026,FPT,134.50061
18/09/2026,SSI,126.16686
18/09/2026,VJC,126.16582
