Date,StockSymbol,NetTradingValue
18/09/2026,MCH,153.45513
18/09/2026,FPT,114.25467
18/09/2026,ACB,30.285585
18/09/2026,STB,22.63624
18/09/2026,HPG,21.59387
18/09/2026,MBB,18.42575
18/09/2026,FUESSVFL,17.090613
18/09/2026,DMX,12.50805
18/09/2026,VHM,11.41732
18/09/2026,SSB,9.137032
