Date,StockSymbol,NetTradingValue
11/09/2026,STB,229.40654
11/09/2026,MBB,140.402205
11/09/2026,VPB,134.294705
11/09/2026,VHM,93.85869
11/09/2026,VNM,71.20519
11/09/2026,VCI,53.86656
11/09/2026,HDB,49.413335
11/09/2026,HPG,42.04814
11/09/2026,MSN,39.93569
11/09/2026,TCX,32.33234
